Left_Weight,Left_Distance,Right_Weight2,Right,Balance_Scale2
5,4,2,4,Negative
5,4,2,5,Negative
5,4,3,1,Negative
5,4,3,2,Negative
5,4,3,3,Negative
5,4,3,4,Negative
5,4,3,5,Negative
5,4,4,1,Negative
5,4,4,2,Negative
5,4,4,3,Negative
5,4,4,4,Negative
5,4,5,1,Negative
5,4,5,2,Negative
5,4,5,3,Negative
5,4,5,5,Positive
5,5,1,1,Negative
5,5,1,2,Negative
5,5,1,3,Negative
5,5,1,4,Negative
5,5,1,5,Negative
5,5,2,1,Negative
5,5,2,2,Negative
5,5,2,3,Negative
5,5,2,4,Negative
5,5,2,5,Negative
5,5,3,1,Negative
5,5,3,2,Negative
5,5,3,3,Negative
5,5,3,4,Negative
5,5,3,5,Negative
5,5,4,1,Negative
5,5,4,2,Negative
5,5,4,3,Negative
5,5,4,4,Negative
5,5,4,5,Negative
5,5,5,1,Negative
5,5,5,2,Negative
5,5,5,3,Negative
5,5,5,4,Negative
